ENSG00000243485	MIR1302-2HG
ENSG00000167851	CD300A
ENSG00000178789	CD300LB
ENSG00000167850	CD300C
ENSG00000204345	CD300LD
ENSG00000182352	C17orf77
ENSG00000261222	AC064805.1
ENSG00000186407	CD300E
ENSG00000172794	RAB37
ENSG00000264659	AC064805.2
ENSG00000186074	CD300LF
ENSG00000266036	AC016888.1
ENSG00000109062	SLC9A3R1
ENSG00000109065	NAT9
ENSG00000109066	TMEM104
ENSG00000161509	GRIN2C
ENSG00000161513	FDXR
ENSG00000172782	FADS6
ENSG00000182040	USH1G
ENSG00000183034	OTOP2
ENSG00000182938	OTOP3
ENSG00000167861	HID1
ENSG00000263586	HID1-AS1
ENSG00000109089	CDR2L
ENSG00000167862	MRPL58
ENSG00000180901	KCTD2
ENSG00000167863	ATP5PD
ENSG00000170190	SLC16A5
ENSG00000125449	ARMC7
ENSG00000125458	NT5C
ENSG00000189159	JPT1
ENSG00000188612	SUMO2
ENSG00000125450	NUP85
ENSG00000125447	GGA3
ENSG00000125445	MRPS7
ENSG00000125457	MIF4GD
ENSG00000263843	AC022211.2
ENSG00000125454	SLC25A19
ENSG00000177885	GRB2
ENSG00000265987	AC011933.4
ENSG00000265342	AC011933.3
ENSG00000177728	TMEM94
ENSG00000177303	CASKIN2
ENSG00000182173	TSEN54
ENSG00000073350	LLGL2
ENSG00000266714	MYO15B
ENSG00000108469	RECQL5
ENSG00000204323	SMIM5
ENSG00000259120	SMIM6
ENSG00000161526	SAP30BP
ENSG00000264829	AC087749.2
ENSG00000264270	AC087749.1
ENSG00000132470	ITGB4
ENSG00000108479	GALK1
ENSG00000132475	H3F3B
ENSG00000132478	UNK
ENSG00000266980	AC087289.1
ENSG00000092929	UNC13D
ENSG00000132471	WBP2
ENSG00000132481	TRIM47
ENSG00000267801	AC087289.5
ENSG00000141569	TRIM65
ENSG00000267342	AC087289.2
ENSG00000204316	MRPL38
ENSG00000267426	AC087289.3
ENSG00000188878	FBF1
ENSG00000161533	ACOX1
ENSG00000267615	AC087289.4
ENSG00000257949	TEN1
ENSG00000250506	CDK3
ENSG00000167880	EVPL
ENSG00000167881	SRP68
ENSG00000186919	ZACN
ENSG00000182687	GALR2
ENSG00000182473	EXOC7
ENSG00000129654	FOXJ1
ENSG00000267128	RNF157-AS1
ENSG00000141576	RNF157
ENSG00000185262	UBALD2
ENSG00000129646	QRICH2
ENSG00000161542	PRPSAP1
ENSG00000176170	SPHK1
ENSG00000175931	UBE2O
ENSG00000129673	AANAT
ENSG00000129667	RHBDF2
ENSG00000161544	CYGB
ENSG00000214140	PRCD
ENSG00000267546	AC015802.4
ENSG00000284526	AC015802.6
ENSG00000070731	ST6GALNAC2
ENSG00000267078	AC015802.1
ENSG00000070526	ST6GALNAC1
ENSG00000261335	AC005837.1
ENSG00000182534	MXRA7
ENSG00000277382	AC005837.3
ENSG00000070495	JMJD6
ENSG00000181038	METTL23
ENSG00000267168	AC005837.2
ENSG00000161547	SRSF2
ENSG00000092931	MFSD11
ENSG00000267065	LINC02080
ENSG00000267535	LINC00868
ENSG00000167889	MGAT5B
ENSG00000267521	AC016168.1
ENSG00000129657	SEC14L1
ENSG00000263718	AC068594.1
ENSG00000265121	AC068594.2
ENSG00000184640	SEPT9
ENSG00000266998	AC111182.1
ENSG00000267016	AC111170.1
ENSG00000267665	AC021683.3
ENSG00000267506	AC021683.2
ENSG00000267466	AC021683.1
ENSG00000267790	LINC01987
ENSG00000204283	LINC01973
ENSG00000078687	TNRC6C
ENSG00000141524	TMC6
ENSG00000167895	TMC8
ENSG00000187997	C17orf99
ENSG00000108639	SYNGR2
ENSG00000167900	TK1
ENSG00000183077	AFMID
ENSG00000089685	BIRC5
ENSG00000204278	TMEM235
ENSG00000283914	AC087645.4
ENSG00000204277	LINC01993
ENSG00000267737	AC087645.2
ENSG00000184557	SOCS3
ENSG00000266970	AC061992.1
ENSG00000087157	PGS1
ENSG00000187775	DNAH17
ENSG00000267123	LINC02081
ENSG00000108669	CYTH1
ENSG00000055483	USP36
ENSG00000035862	TIMP2
ENSG00000267601	AC022966.1
ENSG00000178404	CEP295NL
ENSG00000267491	AC100788.1
ENSG00000108679	LGALS3BP
ENSG00000171302	CANT1
ENSG00000265096	C1QTNF1-AS1
ENSG00000173918	C1QTNF1
ENSG00000167280	ENGASE
ENSG00000167281	RBFOX3
ENSG00000266711	AC021534.1
ENSG00000267719	LINC02078
ENSG00000182156	ENPP7
ENSG00000173894	CBX2
ENSG00000141570	CBX8
ENSG00000262768	AC100791.2
ENSG00000262772	LINC01977
ENSG00000141582	CBX4
ENSG00000262343	AC100791.1
ENSG00000262585	LINC01979
ENSG00000262188	LINC01978
ENSG00000167291	TBC1D16
ENSG00000275516	AC100791.3
ENSG00000261978	AC116025.1
ENSG00000141519	CCDC40
ENSG00000171298	GAA
ENSG00000141543	EIF4A3
ENSG00000275479	AC087741.2
ENSG00000141527	CARD14
ENSG00000262580	AC087741.1
ENSG00000181523	SGSH
ENSG00000181045	SLC26A11
ENSG00000173821	RNF213
ENSG00000276863	AC124319.3
ENSG00000263069	AC124319.2
ENSG00000173818	ENDOV
ENSG00000260369	AC120024.1
ENSG00000171246	NPTX1
ENSG00000141564	RPTOR
ENSG00000262833	AC016245.1
ENSG00000262313	AC127496.3
ENSG00000262662	AC127496.4
ENSG00000261924	AC127496.1
ENSG00000176108	CHMP6
ENSG00000263218	AC127496.6
ENSG00000262873	AC127496.5
ENSG00000262098	AC127496.2
ENSG00000226137	BAIAP2-DT
ENSG00000175866	BAIAP2
ENSG00000181409	AATK
ENSG00000263167	AC115099.1
ENSG00000225180	PVALEF
ENSG00000141577	CEP131
ENSG00000262115	AC027601.2
ENSG00000167302	TEPSIN
ENSG00000260005	AC027601.1
ENSG00000224877	NDUFAF8
ENSG00000157637	SLC38A10
ENSG00000276101	AC027601.4
ENSG00000185168	LINC00482
ENSG00000185332	TMEM105
ENSG00000275542	AC027601.3
ENSG00000275966	AC110285.6
ENSG00000263154	AC110285.3
ENSG00000262223	AC110285.1
ENSG00000274833	AC110285.5
ENSG00000262877	AC110285.2
ENSG00000266074	BAHCC1
ENSG00000263271	AC110285.4
ENSG00000278200	LINC01971
ENSG00000184009	ACTG1
ENSG00000229848	AC139149.1
ENSG00000186765	FSCN2
ENSG00000185504	FAAP100
ENSG00000182446	NPLOC4
ENSG00000182612	TSPAN10
ENSG00000185527	PDE6G
ENSG00000204237	OXLD1
ENSG00000185298	CCDC137
ENSG00000214087	ARL16
ENSG00000185359	HGS
ENSG00000275902	AC139530.3
ENSG00000262049	AC139530.1
ENSG00000262814	MRPL12
ENSG00000262660	AC139530.2
ENSG00000183048	SLC25A10
ENSG00000215644	GCGR
ENSG00000225663	MCRIP1
ENSG00000182676	PPP1R27
ENSG00000185624	P4HB
ENSG00000262831	AC145207.3
ENSG00000141522	ARHGDIA
ENSG00000262413	AC145207.2
ENSG00000263731	AC145207.5
ENSG00000263859	AC145207.6
ENSG00000183684	ALYREF
ENSG00000141552	ANAPC11
ENSG00000183979	NPB
ENSG00000185813	PCYT2
ENSG00000187531	SIRT7
ENSG00000197063	MAFG
ENSG00000264769	AC145207.8
ENSG00000265688	MAFG-DT
ENSG00000183010	PYCR1
ENSG00000263585	AC145207.4
ENSG00000185105	MYADML2
ENSG00000235296	AC145207.1
ENSG00000185269	NOTUM
ENSG00000264735	AC145207.7
ENSG00000169696	ASPSCR1
ENSG00000169689	CENPX
ENSG00000169683	LRRC45
ENSG00000169750	RAC3
ENSG00000169738	DCXR
ENSG00000264569	AC137723.1
ENSG00000169733	RFNG
ENSG00000169727	GPS1
ENSG00000169718	DUS1L
ENSG00000169710	FASN
ENSG00000176155	CCDC57
ENSG00000265678	AC129510.1
ENSG00000266654	AC129510.2
ENSG00000264548	AC132872.2
ENSG00000141526	SLC16A3
ENSG00000141551	CSNK1D
ENSG00000275888	AC132872.3
ENSG00000265692	LINC01970
ENSG00000260563	AC132872.1
ENSG00000173762	CD7
ENSG00000141574	SECTM1
ENSG00000182459	TEX19
ENSG00000181408	UTS2R
ENSG00000260011	AC132938.1
ENSG00000181396	OGFOD3
ENSG00000169660	HEXDC
ENSG00000178927	CYBC1
ENSG00000265458	AC132938.3
ENSG00000141562	NARF
ENSG00000266445	NARF-AS1
ENSG00000141568	FOXK2
ENSG00000262147	AC124283.2
ENSG00000261845	AC124283.1
ENSG00000141580	WDR45B
ENSG00000141542	RAB40B
ENSG00000263063	AC024361.2
ENSG00000141560	FN3KRP
ENSG00000263321	AC024361.3
ENSG00000167363	FN3K
ENSG00000141556	TBCD
ENSG00000263098	AC068014.1
ENSG00000141579	ZNF750
ENSG00000262663	AC087222.1
ENSG00000175711	B3GNTL1
ENSG00000262339	AC130371.1
ENSG00000176845	METRNL
ENSG00000274370	AC130371.2
ENSG00000261888	AC144831.1
ENSG00000262898	AC139099.2
ENSG00000262952	AC139099.3
ENSG00000262094	AC139099.1
ENSG00000262352	LINC02564
ENSG00000263305	AP005530.1
ENSG00000173213	TUBB8P12
ENSG00000282965	AP001005.3
ENSG00000101557	USP14
ENSG00000079134	THOC1
ENSG00000263884	AP000845.1
ENSG00000264514	AP000915.1
ENSG00000158270	COLEC12
ENSG00000264265	LINC01925
ENSG00000177143	CETN1
ENSG00000079101	CLUL1
ENSG00000266456	AP001178.3
ENSG00000176890	TYMS
ENSG00000132199	ENOSF1
ENSG00000265490	AP001178.2
ENSG00000176105	YES1
ENSG00000266171	AP001020.3
ENSG00000264339	AP001020.1
ENSG00000273355	AP000894.4
ENSG00000265671	AP000894.3
ENSG00000141433	ADCYAP1
ENSG00000259837	LINC01904
ENSG00000272461	AP005328.2
ENSG00000263551	AP005328.1
ENSG00000132204	LINC00470
ENSG00000266602	AC008109.1
ENSG00000266450	AC019183.1
ENSG00000264080	AP005057.1
ENSG00000263745	AP005230.1
ENSG00000101574	METTL4
ENSG00000080986	NDC80
ENSG00000101596	SMCHD1
ENSG00000266049	AP001011.1
ENSG00000132205	EMILIN2
ENSG00000101577	LPIN2
ENSG00000272625	AP000919.4
ENSG00000265907	AP000919.2
ENSG00000266397	AP000919.3
ENSG00000101605	MYOM1
ENSG00000265399	AP005329.2
ENSG00000272688	AP005329.3
ENSG00000101608	MYL12A
ENSG00000264235	AP005329.1
ENSG00000118680	MYL12B
ENSG00000266578	AP001025.1
ENSG00000259256	LINC01895
ENSG00000265243	IGLJCOR18
ENSG00000177426	TGIF1
ENSG00000266835	GAPLINC
ENSG00000170579	DLGAP1
ENSG00000177337	DLGAP1-AS1
ENSG00000262001	DLGAP1-AS2
ENSG00000266401	AP002478.1
ENSG00000263724	DLGAP1-AS3
ENSG00000263878	DLGAP1-AS4
ENSG00000261520	DLGAP1-AS5
ENSG00000266268	AP005203.1
ENSG00000265514	LINC01892
ENSG00000231824	AKAIN1
ENSG00000266153	AP005380.1
ENSG00000265091	AP001496.2
ENSG00000264575	LINC00526
ENSG00000263753	LINC00667
ENSG00000198081	ZBTB14
ENSG00000264254	AP001496.1
ENSG00000266288	AP005671.1
ENSG00000082397	EPB41L3
ENSG00000265316	AP005059.2
ENSG00000264000	AP005059.1
ENSG00000261738	MIR3976HG
ENSG00000206432	TMEM200C
ENSG00000264449	AP005433.1
ENSG00000154655	L3MBTL4
ENSG00000265487	AP001021.1
ENSG00000266846	AP001021.2
ENSG00000264707	L3MBTL4-AS1
ENSG00000266065	AP005202.2
ENSG00000265944	LINC01387
ENSG00000261627	AP005205.1
ENSG00000266441	AP005205.2
ENSG00000088756	ARHGAP28
ENSG00000263797	AP005210.1
ENSG00000265933	LINC00668
ENSG00000101680	LAMA1
ENSG00000265069	AP002409.1
ENSG00000264475	AP005062.1
ENSG00000206422	LRRC30
ENSG00000173482	PTPRM
ENSG00000266767	AP000897.2
ENSG00000266149	AP001094.3
ENSG00000263970	AP001094.1
ENSG00000206418	RAB12
ENSG00000266708	AP001793.2
ENSG00000265962	GACAT2
ENSG00000168502	MTCL1
ENSG00000178127	NDUFV2
ENSG00000263847	AP005899.1
ENSG00000266053	NDUFV2-AS1
ENSG00000101745	ANKRD12
ENSG00000264964	AP001033.1
ENSG00000128791	TWSG1
ENSG00000273335	AP005432.2
ENSG00000017797	RALBP1
ENSG00000154845	PPP4R1
ENSG00000266541	AP001381.1
ENSG00000263627	PPP4R1-AS1
ENSG00000168461	RAB31
ENSG00000168454	TXNDC2
ENSG00000272799	AC006238.1
ENSG00000101558	VAPA
ENSG00000265554	AP005271.1
ENSG00000264876	AP005209.1
ENSG00000266102	AP006219.1
ENSG00000260913	LINC01254
ENSG00000154856	APCDD1
ENSG00000134265	NAPG
ENSG00000265728	AP001099.1
ENSG00000266604	LINC01887
ENSG00000264072	AP001180.2
ENSG00000260779	AP001180.1
ENSG00000154864	PIEZO2
ENSG00000264843	AP001180.4
ENSG00000263952	AP005120.1
ENSG00000267051	AP005229.1
ENSG00000273119	AP005229.2
ENSG00000267564	AP001109.1
ENSG00000267425	LINC01928
ENSG00000267252	LINC01255
ENSG00000236396	SLC35G4
ENSG00000267143	AP001120.2
ENSG00000260759	AP001120.1
ENSG00000141404	GNAL
ENSG00000267455	AP005137.1
ENSG00000255112	CHMP1B
ENSG00000267165	CHMP1B-AS1
ENSG00000272703	AP005137.2
ENSG00000154889	MPPE1
ENSG00000273141	AP001269.4
ENSG00000267079	AP001269.2
ENSG00000141401	IMPA2
ENSG00000266955	AP001269.1
ENSG00000267480	AP001542.3
ENSG00000267722	AP002414.5
ENSG00000181626	ANKRD62
ENSG00000267643	AP005264.4
ENSG00000267247	AP005264.3
ENSG00000176194	CIDEA
ENSG00000267069	AP005264.1
ENSG00000176014	TUBB6
ENSG00000141385	AFG3L2
ENSG00000141391	PRELID3A
ENSG00000267108	AP001029.1
ENSG00000267199	AP001029.2
ENSG00000134278	SPIRE1
ENSG00000128789	PSMG2
ENSG00000101624	CEP76
ENSG00000266961	AP005482.2
ENSG00000260302	AP005482.1
ENSG00000175354	PTPN2
ENSG00000085415	SEH1L
ENSG00000266969	AP002449.1
ENSG00000101639	CEP192
ENSG00000267286	AP001198.2
ENSG00000267239	AP001198.1
ENSG00000168675	LDLRAD4
ENSG00000267177	AP002505.1
ENSG00000267393	AP002439.1
ENSG00000267690	LDLRAD4-AS1
ENSG00000267694	AP005131.5
ENSG00000267366	AP005131.2
ENSG00000267136	AP005131.1
ENSG00000267503	AP005131.3
ENSG00000266954	AP001010.1
ENSG00000177150	FAM210A
ENSG00000101654	RNMT
ENSG00000176136	MC5R
ENSG00000185231	MC2R
ENSG00000175322	ZNF519
ENSG00000267150	AC006557.1
ENSG00000267356	AC006557.3
ENSG00000183206	POTEC
ENSG00000180777	ANKRD30B
ENSG00000265737	AP006565.1
ENSG00000265786	LINC01906
ENSG00000263618	AP005121.1
ENSG00000266554	LINC01443
ENSG00000264301	LINC01444
ENSG00000263821	AP005121.2
ENSG00000278923	AP005242.3
ENSG00000263635	AP005242.1
ENSG00000264880	AP005901.2
ENSG00000067900	ROCK1
ENSG00000265984	AC022809.1
ENSG00000141449	GREB1L
ENSG00000265751	AC015878.1
ENSG00000141446	ESCO1
ENSG00000167088	SNRPD1
ENSG00000158201	ABHD3
ENSG00000265656	AC106037.2
ENSG00000101752	MIB1
ENSG00000265142	MIR133A1HG
ENSG00000264149	AC103987.2
ENSG00000265758	LINC01900
ENSG00000263588	AC091043.1
ENSG00000266010	GATA6-AS1
ENSG00000141448	GATA6
ENSG00000264012	AC091588.1
ENSG00000266283	AC091588.3
ENSG00000264825	AC091588.2
ENSG00000273348	AC027449.1
ENSG00000212710	CTAGE1
ENSG00000265943	AC090912.1
ENSG00000266850	AC090912.2
ENSG00000101773	RBBP8
ENSG00000134508	CABLES1
ENSG00000134490	TMEM241
ENSG00000266495	AC011731.1
ENSG00000101782	RIOK3
ENSG00000141452	RMC1
ENSG00000141458	NPC1
ENSG00000154065	ANKRD29
ENSG00000053747	LAMA3
ENSG00000265752	AC010754.1
ENSG00000168234	TTC39C
ENSG00000264745	TTC39C-AS1
ENSG00000265204	AC090772.2
ENSG00000264924	AC090772.1
ENSG00000154040	CABYR
ENSG00000265750	AC090772.3
ENSG00000141447	OSBPL1A
ENSG00000264365	AC023983.1
ENSG00000273321	AC023983.2
ENSG00000154059	IMPACT
ENSG00000134489	HRH4
ENSG00000264695	AC007922.1
ENSG00000266489	AC007922.3
ENSG00000265485	LINC01915
ENSG00000263553	AC022884.1
ENSG00000266573	AC018697.1
ENSG00000264345	LINC01894
ENSG00000265552	AC104961.1
ENSG00000198795	ZNF521
ENSG00000264434	AC110603.1
ENSG00000141380	SS18
ENSG00000154611	PSMA8
ENSG00000141384	TAF4B
ENSG00000263862	LINC01543
ENSG00000134504	KCTD1
ENSG00000260372	AQP4-AS1
ENSG00000265369	PCAT18
ENSG00000263677	AC012588.1
ENSG00000263382	AC018371.1
ENSG00000171885	AQP4
ENSG00000154080	CHST9
ENSG00000265374	LINC01908
ENSG00000264151	AC090403.1
ENSG00000264790	AC021382.1
ENSG00000263611	AC068408.1
ENSG00000170558	CDH2
ENSG00000227279	AC110015.1
ENSG00000265994	AC023932.1
ENSG00000265980	AC074237.1
ENSG00000264587	AC117569.1
ENSG00000266196	AC090506.1
ENSG00000265670	AC016382.1
ENSG00000134762	DSC3
ENSG00000134755	DSC2
ENSG00000265888	DSCAS
ENSG00000134765	DSC1
ENSG00000263698	AC012417.1
ENSG00000134760	DSG1
ENSG00000266729	DSG1-AS1
ENSG00000175065	DSG4
ENSG00000134757	DSG3
ENSG00000266521	AC021549.1
ENSG00000046604	DSG2
ENSG00000264859	DSG2-AS1
ENSG00000118271	TTR
ENSG00000118276	B4GALT6
ENSG00000259985	AC017100.1
ENSG00000141437	SLC25A52
ENSG00000153339	TRAPPC8
ENSG00000263924	AC022960.1
ENSG00000263823	AC009831.1
ENSG00000101695	RNF125
ENSG00000265008	AC011825.4
ENSG00000134758	RNF138
ENSG00000263393	AC011825.2
ENSG00000141441	GAREM1
ENSG00000141434	MEP1B
ENSG00000264982	AC015563.2
ENSG00000262477	AC021224.1
ENSG00000285095	AC025887.2
ENSG00000263688	AC025887.1
ENSG00000197705	KLHL14
ENSG00000228835	AC012123.1
ENSG00000263765	AC090371.2
ENSG00000166960	CCDC178
ENSG00000263450	AC090371.1
ENSG00000267642	AC091198.1
ENSG00000141431	ASXL3
ENSG00000101746	NOL4
ENSG00000267746	AC104985.1
ENSG00000278052	AC104985.2
ENSG00000134769	DTNA
ENSG00000268873	AC022601.1
ENSG00000278464	AC068506.1
ENSG00000166974	MAPRE2
ENSG00000274400	AC015967.1
ENSG00000186812	ZNF397
ENSG00000186814	ZSCAN30
ENSG00000274184	AC011815.2
ENSG00000268573	AC011815.1
ENSG00000274918	AC116447.1
ENSG00000172466	ZNF24
ENSG00000186496	ZNF396
ENSG00000275512	AC007998.4
ENSG00000267583	AC007998.3
ENSG00000267140	AC007998.2
ENSG00000153391	INO80C
ENSG00000141429	GALNT1
ENSG00000267397	AC090229.1
ENSG00000267627	AC118757.1
ENSG00000141428	C18orf21
ENSG00000141425	RPRD1A
ENSG00000141424	SLC39A6
ENSG00000134759	ELP2
ENSG00000260552	AC023043.1
ENSG00000075643	MOCOS
ENSG00000134775	FHOD3
ENSG00000134779	TPGS2
ENSG00000150477	KIAA1328
ENSG00000267039	AC016493.1
ENSG00000267651	AC015961.1
ENSG00000101489	CELF4
ENSG00000267707	AC015961.2
ENSG00000267202	AC090386.1
ENSG00000268566	AC100781.1
ENSG00000267374	AC016205.1
ENSG00000283458	AC011139.1
ENSG00000267413	LINC01901
ENSG00000283503	LINC01902
ENSG00000261715	LINC01477
ENSG00000267313	AC021504.1
ENSG00000078142	PIK3C3
ENSG00000267586	LINC00907
ENSG00000152214	RIT2
ENSG00000132872	SYT4
ENSG00000267337	LINC01478
ENSG00000267414	AC120049.1
ENSG00000152217	SETBP1
ENSG00000267101	AC090376.1
ENSG00000132874	SLC14A2
ENSG00000267097	SLC14A2-AS1
ENSG00000267193	AC023421.2
ENSG00000141469	SLC14A1
ENSG00000197046	SIGLEC15
ENSG00000152223	EPG5
ENSG00000152229	PSTPIP2
ENSG00000152234	ATP5F1A
ENSG00000152240	HAUS1
ENSG00000152242	C18orf25
ENSG00000141622	RNF165
ENSG00000167210	LOXHD1
ENSG00000101638	ST8SIA5
ENSG00000274776	AC090241.3
ENSG00000078043	PIAS2
ENSG00000167216	KATNAL2
ENSG00000274744	ELOA3D
ENSG00000275553	ELOA3C
ENSG00000278674	ELOA3B
ENSG00000183791	ELOA3
ENSG00000206181	ELOA2
ENSG00000266957	AC012254.1
ENSG00000267724	AC012254.3
ENSG00000167220	HDHD2
ENSG00000267228	AC012254.2
ENSG00000134049	IER3IP1
ENSG00000215474	SKOR2
ENSG00000267761	MIR4527HG
ENSG00000261307	AC102797.1
ENSG00000175387	SMAD2
ENSG00000269365	AC120349.1
ENSG00000184828	ZBTB7C
ENSG00000134030	CTIF
ENSG00000267762	AC048380.1
ENSG00000267764	AC093567.1
ENSG00000101665	SMAD7
ENSG00000266905	AC114684.1
ENSG00000264269	AC016866.1
ENSG00000141627	DYM
ENSG00000265128	AC016866.2
ENSG00000266696	AC044840.1
ENSG00000177576	C18orf32
ENSG00000215472	RPL17-C18orf32
ENSG00000265496	AC100778.3
ENSG00000265681	RPL17
ENSG00000264464	AC091170.1
ENSG00000101670	LIPG
ENSG00000267674	AC090227.2
ENSG00000167315	ACAA2
ENSG00000266997	AC090227.1
ENSG00000267322	SNHG22
ENSG00000167306	MYO5B
ENSG00000172361	CFAP53
ENSG00000141644	MBD1
ENSG00000154832	CXXC1
ENSG00000267695	AC105227.1
ENSG00000154839	SKA1
ENSG00000141639	MAPK4
ENSG00000134042	MRO
ENSG00000082212	ME2
ENSG00000141642	ELAC1
ENSG00000267699	AC091551.1
ENSG00000141646	SMAD4
ENSG00000176624	MEX3C
ENSG00000227115	LINC01630
ENSG00000266335	AC016383.1
ENSG00000187323	DCC
ENSG00000264263	AC103949.1
ENSG00000263438	LINC01919
ENSG00000260433	LINC01917
ENSG00000134046	MBD2
ENSG00000277324	AC093462.1
ENSG00000101751	POLI
ENSG00000174448	STARD6
ENSG00000166845	C18orf54
ENSG00000178690	DYNAP
ENSG00000041353	RAB27B
ENSG00000267311	AC007673.1
ENSG00000267112	AC098848.1
ENSG00000166510	CCDC68
ENSG00000267013	LINC01929
ENSG00000196628	TCF4
ENSG00000267028	TCF4-AS1
ENSG00000267402	TCF4-AS2
ENSG00000267284	AC022031.2
ENSG00000267325	LINC01415
ENSG00000267172	AC022031.1
ENSG00000260930	LINC01416
ENSG00000267327	AC009271.1
ENSG00000206129	AC006305.1
ENSG00000267057	LINC01905
ENSG00000267399	AC006305.2
ENSG00000267712	LINC01539
ENSG00000267732	AC006305.3
ENSG00000091164	TXNL1
ENSG00000091157	WDR7
ENSG00000267146	AC012301.1
ENSG00000258609	LINC-ROR
ENSG00000267789	AC100775.1
ENSG00000228075	BOD1L2
ENSG00000267726	LINC02565
ENSG00000177511	ST8SIA3
ENSG00000277837	AC090340.1
ENSG00000119547	ONECUT2
ENSG00000066926	FECH
ENSG00000278703	AC100847.1
ENSG00000134440	NARS
ENSG00000267040	AC027097.1
ENSG00000267787	AC027097.2
ENSG00000081923	ATP8B1
ENSG00000267209	LINC01897
ENSG00000049759	NEDD4L
ENSG00000267743	AC107896.1
ENSG00000267396	AC090236.1
ENSG00000267675	AC105105.2
ENSG00000267391	MIR122HG
ENSG00000276403	AC105105.4
ENSG00000198796	ALPK2
ENSG00000267257	AC105105.1
ENSG00000267579	AC104971.2
ENSG00000275418	AC104971.3
ENSG00000172175	MALT1
ENSG00000267476	AC104365.1
ENSG00000267705	AC104365.3
ENSG00000267501	AC104365.2
ENSG00000267593	LINC01926
ENSG00000074657	ZNF532
ENSG00000267215	AC040963.1
ENSG00000166562	SEC11C
ENSG00000134443	GRP
ENSG00000134438	RAX
ENSG00000166569	CPLX4
ENSG00000074695	LMAN1
ENSG00000267677	AC016229.2
ENSG00000183287	CCBE1
ENSG00000267000	AC016229.1
ENSG00000267061	AC090213.1
ENSG00000267269	AC010776.1
ENSG00000267774	AC010776.2
ENSG00000273664	AC010776.3
ENSG00000141682	PMAIP1
ENSG00000267462	AC090377.1
ENSG00000267686	AC090771.2
ENSG00000267401	AC090621.1
ENSG00000166603	MC4R
ENSG00000267098	AC113137.1
ENSG00000101542	CDH20
ENSG00000267316	AC090409.2
ENSG00000267279	AC090409.1
ENSG00000267175	AC105094.2
ENSG00000267038	AC105094.1
ENSG00000260440	LINC01544
ENSG00000176641	RNF152
ENSG00000197563	PIGN
ENSG00000134444	KIAA1468
ENSG00000267560	AC027514.2
ENSG00000141655	TNFRSF11A
ENSG00000267341	AC100843.1
ENSG00000141664	ZCCHC2
ENSG00000278017	AC064801.1
ENSG00000081913	PHLPP1
ENSG00000171791	BCL2
ENSG00000283125	AC022726.2
ENSG00000119537	KDSR
ENSG00000267390	AC036176.1
ENSG00000119541	VPS4B
ENSG00000206075	SERPINB5
ENSG00000166634	SERPINB12
ENSG00000197641	SERPINB13
ENSG00000206073	SERPINB4
ENSG00000206072	SERPINB11
ENSG00000057149	SERPINB3
ENSG00000166396	SERPINB7
ENSG00000197632	SERPINB2
ENSG00000242550	SERPINB10
ENSG00000221887	HMSD
ENSG00000283667	AC009802.1
ENSG00000166401	SERPINB8
ENSG00000179676	LINC00305
ENSG00000267134	LINC01924
ENSG00000236392	AC100848.1
ENSG00000266952	LINC01538
ENSG00000263863	AC007948.1
ENSG00000264131	AC007631.1
ENSG00000264232	LINC01916
ENSG00000265217	AC090358.1
ENSG00000081138	CDH7
ENSG00000263622	AC023394.1
ENSG00000071991	CDH19
ENSG00000260578	AC110597.1
ENSG00000171451	DSEL
ENSG00000263424	AC110597.3
ENSG00000265533	AC114689.3
ENSG00000263594	AC022655.1
ENSG00000265555	LINC01903
ENSG00000264634	AC100844.1
ENSG00000264869	AC068112.1
ENSG00000264699	LINC01912
ENSG00000265425	AC005909.1
ENSG00000166479	TMX3
ENSG00000150636	CCDC102B
ENSG00000263637	AC022035.1
ENSG00000264472	AC096708.2
ENSG00000264705	AC090337.1
ENSG00000278532	AC026585.1
ENSG00000206052	DOK6
ENSG00000265643	AC119868.2
ENSG00000266840	AC068254.1
ENSG00000150637	CD226
ENSG00000176225	RTTN
ENSG00000170677	SOCS6
ENSG00000266258	LINC01909
ENSG00000266304	LIVAR
ENSG00000266278	LINC01910
ENSG00000263417	GTSCR1
ENSG00000265781	AC090415.2
ENSG00000265484	AC091691.2
ENSG00000260676	LINC01541
ENSG00000265352	LINC01899
ENSG00000260457	AC027458.1
ENSG00000265995	AC069114.1
ENSG00000141668	CBLN2
ENSG00000166342	NETO1
ENSG00000263958	AC091138.1
ENSG00000265380	AC079070.1
ENSG00000263655	AC090125.1
ENSG00000141665	FBXO15
ENSG00000075336	TIMM21
ENSG00000260569	AC090398.1
ENSG00000166347	CYB5A
ENSG00000206043	C18orf63
ENSG00000259779	LINC01922
ENSG00000187773	FAM69C
ENSG00000133313	CNDP2
ENSG00000150656	CNDP1
ENSG00000264340	AC009704.1
ENSG00000264247	LINC00909
ENSG00000215421	ZNF407
ENSG00000278607	AC015819.2
ENSG00000273669	AC015819.1
ENSG00000180011	ZADH2
ENSG00000179981	TSHZ1
ENSG00000276993	AC116003.3
ENSG00000264116	AC116003.1
ENSG00000206026	SMIM21
ENSG00000266774	AC116003.2
ENSG00000261194	LINC01898
ENSG00000266460	AC021506.1
ENSG00000264108	AC090457.1
ENSG00000266743	AC103808.6
ENSG00000264260	LINC01893
ENSG00000264595	AC103808.2
ENSG00000266014	AC103808.4
ENSG00000265717	AC103808.3
ENSG00000264212	AC103808.1
